Year,Quarter,Month,Day,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Ground,Sum of Fatalities (air),Sum of Aboard,Month_num,Date
1908,Qtr 3,September,17,United States,Wright,Wright Flyer III,virginia,Army U.S. - Military,0,1,2,9,1908-09-17
1909,Qtr 3,September,7,France,Wright,Wright ByplaneSC1,france,Unknown,0,1,1,9,1909-09-07
1912,Qtr 3,July,12,Unknown,Unknown,Dirigible,atlantic,Navy U.S. - JerseyMilitary,0,5,5,7,1912-07-12
1913,Qtr 3,August,6,United Kingdom,Curtiss,Curtiss seaplane,victoria british,Canada          Columbia Private,0,1,1,8,1913-08-06
1913,Qtr 3,September,9,Unknown,Zeppelin,Zeppelin L 1 (airship),over the north seamilitary - german navy,Unknown,0,14,20,9,1913-09-09
1913,Qtr 4,October,17,Unknown,Zeppelin,Zeppelin L 2 (airship),near johannisthal germany,Navy German - Military,0,28,28,10,1913-10-17
1915,Qtr 1,March,5,Unknown,Zeppelin,Zeppelin L 8 (airship),tienen belgium,Navy German - Military,0,17,41,3,1915-03-05
1915,Qtr 3,September,3,Unknown,Zeppelin,Zeppelin L 10 (airship),off cuxhaven germany,Navy German - Military,0,19,19,9,1915-09-03
1916,Qtr 3,July,28,Bulgaria,Schütte-Lanz,Schutte  Lanz S,near jambol bulgeria,Army German - Military,0,20,20,7,1916-07-28
1916,Qtr 3,September,24,Unknown,Zeppelin,Zeppelin L 32 (airship),billericay england,Navy German - Military,0,22,22,9,1916-09-24
1916,Qtr 4,October,1,Unknown,Zeppelin,Zeppelin L 31 (airship),potters bar england,Navy German - Military,0,19,19,10,1916-10-01
1916,Qtr 4,November,21,Unknown,Zeppelin,Super Zeppelin (airship),mainz germany,Army German - Military,0,27,28,11,1916-11-21
1916,Qtr 4,November,28,Unknown,Zeppelin,Zeppelin L 34 (airship),off west hartlepool england,Navy German - Military,0,20,20,11,1916-11-28
1917,Qtr 1,March,4,Unknown,Unknown,Airship,near gent belgium,Army German - Military,0,20,20,3,1917-03-04
1917,Qtr 1,March,30,Unknown,Schütte-Lanz,Schutte  Lanz S,off northern germanymilitary - german navy,Unknown,0,23,23,3,1917-03-30
1917,Qtr 2,May,14,Unknown,Zeppelin,Zeppelin L 22 (airship),near texel island north,Navy German - SeaMilitary,0,21,21,5,1917-05-14
